INFO :[2021-06-15 15:56:19,294] ContextLoader.java:270 - Root WebApplicationContext: initialization started
DEBUG:[2021-06-15 15:56:47,986] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 15:56:47,986] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 15:56:48,354] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 15:56:48,355] LoggerInterceptor.java:21 - /spring/stommp/info
DEBUG:[2021-06-15 15:56:48,355] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:48,355] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:48,356] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 15:56:48,356] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 15:56:48,356] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 15:56:48,363] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 15:56:48,364] LoggerInterceptor.java:21 - /spring/stommp/667/piq0qnzm/websocket
DEBUG:[2021-06-15 15:56:48,364] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:48,424] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 15:56:48,425] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 15:56:48,425] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 15:56:48,425] LoggerInterceptor.java:47 - ____________________end_____________________
INFO :[2021-06-15 15:57:24,899] WebSocketMessageBrokerStats.java:124 - WebSocketSession[1 current WS(1)-HttpStream(0)-HttpPoll(0), 1 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(1)-CONNECTED(1)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 9, active threads = 0, queued tasks = 0, completed tasks = 9], outboundChannel[pool size = 1, active threads = 0, queued tasks = 0, completed tasks = 1], sockJsScheduler[pool size = 13, active threads = 1, queued tasks = 2, completed tasks = 9]
INFO :[2021-06-15 16:10:39,184] CompositeLog.java:132 - Stopping...
INFO :[2021-06-15 16:10:39,184] CompositeLog.java:132 - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
INFO :[2021-06-15 16:10:39,185] CompositeLog.java:132 - Stopped.
INFO :[2021-06-15 16:10:41,808] ContextLoader.java:270 - Root WebApplicationContext: initialization started
INFO :[2021-06-15 16:10:44,710] ContextLoader.java:306 - Root WebApplicationContext initialized in 2898 ms
INFO :[2021-06-15 16:10:44,814] FrameworkServlet.java:524 - Initializing Servlet 'appServlet'
INFO :[2021-06-15 16:10:48,613] CompositeLog.java:132 - Starting...
INFO :[2021-06-15 16:10:48,614] CompositeLog.java:132 - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [DefaultSubscriptionRegistry[cache[0 destination(s)], registry[0 sessions]]]]
INFO :[2021-06-15 16:10:48,617] CompositeLog.java:132 - Started.
INFO :[2021-06-15 16:10:48,640] FrameworkServlet.java:546 - Completed initialization in 3826 ms
DEBUG:[2021-06-15 16:10:53,558] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:10:53,559] LoggerInterceptor.java:21 - /spring/
DEBUG:[2021-06-15 16:10:53,559] LoggerInterceptor.java:22 - ---------------------------------------------
INFO :[2021-06-15 16:10:53,574] HomeController.java:30 - index 페이지 요청
DEBUG:[2021-06-15 16:10:53,585] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:10:53,588] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="forward:/index.jsp"; model={}]
DEBUG:[2021-06-15 16:10:53,709] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:10:53,709] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:10:53,774] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:10:53,774] LoggerInterceptor.java:21 - /spring/resources/css/style.css
DEBUG:[2021-06-15 16:10:53,774] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:10:53,780] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:10:53,780] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 16:10:53,780] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:10:53,781] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:10:53,785] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:10:53,786] LoggerInterceptor.java:21 - /spring/resources/images/logo-spring.png
DEBUG:[2021-06-15 16:10:53,786] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:10:53,788] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:10:53,788] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 16:10:53,789] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:10:53,789] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:00,010] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:00,011] LoggerInterceptor.java:21 - /spring/ws/stomp.do
DEBUG:[2021-06-15 16:11:00,011] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:00,012] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:00,012] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:00,036] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:00,037] LoggerInterceptor.java:21 - /spring/member/memberLogin.do
DEBUG:[2021-06-15 16:11:00,037] LoggerInterceptor.java:22 - ---------------------------------------------
INFO :[2021-06-15 16:11:00,042] MemberController.java:93 - @ModelAttribute("common")
INFO :[2021-06-15 16:11:00,066] MemberController.java:150 - referer = http://localhost:9090/spring/
INFO :[2021-06-15 16:11:00,067] MemberController.java:151 - next = http://localhost:9090/spring/ws/stomp.do?null
DEBUG:[2021-06-15 16:11:00,077] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:00,078] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="member/memberLogin"; model={msg=로그인 후 사용하실 수 있습니다., next=http://localhost:9090/spring/ws/stomp.do?null, common={adminPhone=070-1234-5678, adminEmail=admin@kh.or.kr}, org.springframework.validation.BindingResult.next=org.springframework.validation.BeanPropertyBindingResult: 0 errors}]
DEBUG:[2021-06-15 16:11:00,097] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:00,097] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:01,699] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:01,699] LoggerInterceptor.java:21 - /spring/member/memberLogin.do
DEBUG:[2021-06-15 16:11:01,699] LoggerInterceptor.java:22 - ---------------------------------------------
INFO :[2021-06-15 16:11:01,711] MemberController.java:93 - @ModelAttribute("common")
INFO :[2021-06-15 16:11:02,244] MemberController.java:163 - member = Member(id=honggd, password=$2a$10$58P5ZogXEOyZbwCYwYX2fOwsuu6CogrAAaY.l//XUYvClKbzvV5l6, name=홍길동, gender=M, birthday=2021-05-14, email=honggd@naver.com, phone=01012341234, address=null, hobby=[등산, 독서, 여행], enrollDate=2021-05-20, enabled=true)
INFO :[2021-06-15 16:11:02,308] MemberController.java:184 - next = http://localhost:9090/spring/ws/stomp.do?null
DEBUG:[2021-06-15 16:11:02,308] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:02,308] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="redirect:http://localhost:9090/spring/ws/stomp.do?null"; model={}]
DEBUG:[2021-06-15 16:11:02,314] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:02,314] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:02,318] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:02,318] LoggerInterceptor.java:21 - /spring/ws/stomp.do
DEBUG:[2021-06-15 16:11:02,318] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:02,319] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:02,319] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="ws/stomp"; model={}]
DEBUG:[2021-06-15 16:11:03,225] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:03,225] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:03,445] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:03,446] LoggerInterceptor.java:21 - /spring/stommp/info
DEBUG:[2021-06-15 16:11:03,446] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:03,448] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:03,448] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 16:11:03,449] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:03,449] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:03,459] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:03,459] LoggerInterceptor.java:21 - /spring/stommp/913/mvbmjikc/websocket
DEBUG:[2021-06-15 16:11:03,460] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:03,512] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:03,513] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 16:11:03,513] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:03,513] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:09,621] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:09,621] LoggerInterceptor.java:21 - /spring/
DEBUG:[2021-06-15 16:11:09,621] LoggerInterceptor.java:22 - ---------------------------------------------
INFO :[2021-06-15 16:11:09,621] HomeController.java:30 - index 페이지 요청
DEBUG:[2021-06-15 16:11:09,622] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:09,622] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="forward:/index.jsp"; model={}]
DEBUG:[2021-06-15 16:11:09,628] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:09,628] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:14,550] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:14,550] LoggerInterceptor.java:21 - /spring/member/memberLogin.do
DEBUG:[2021-06-15 16:11:14,550] LoggerInterceptor.java:22 - ---------------------------------------------
INFO :[2021-06-15 16:11:14,551] MemberController.java:93 - @ModelAttribute("common")
INFO :[2021-06-15 16:11:14,551] MemberController.java:150 - referer = http://localhost:9090/spring/
INFO :[2021-06-15 16:11:14,551] MemberController.java:151 - next = http://localhost:9090/spring/ws/stomp.do?null
DEBUG:[2021-06-15 16:11:14,552] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:14,552] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="member/memberLogin"; model={next=http://localhost:9090/spring/ws/stomp.do?null, common={adminPhone=070-1234-5678, adminEmail=admin@kh.or.kr}, org.springframework.validation.BindingResult.next=org.springframework.validation.BeanPropertyBindingResult: 0 errors}]
DEBUG:[2021-06-15 16:11:14,555] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:14,555] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:24,078] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:24,078] LoggerInterceptor.java:21 - /spring/member/memberLogin.do
DEBUG:[2021-06-15 16:11:24,078] LoggerInterceptor.java:22 - ---------------------------------------------
INFO :[2021-06-15 16:11:24,079] MemberController.java:93 - @ModelAttribute("common")
INFO :[2021-06-15 16:11:24,083] MemberController.java:163 - member = Member(id=admin, password=$2a$10$D8gjn88unUZvff1SfDrQwe3fIon37Yyx9w3QIgaCR9QWhvqcBdDXS, name=관리자, gender=F, birthday=1990-12-25, email=admin@naver.com, phone=01012345678, address=서울시 강남구, hobby=[독서], enrollDate=2021-05-20, enabled=true)
INFO :[2021-06-15 16:11:24,139] MemberController.java:184 - next = http://localhost:9090/spring/ws/stomp.do?null
DEBUG:[2021-06-15 16:11:24,140] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:24,140] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="redirect:http://localhost:9090/spring/ws/stomp.do?null"; model={}]
DEBUG:[2021-06-15 16:11:24,141] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:24,141] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:24,158] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:24,158] LoggerInterceptor.java:21 - /spring/ws/stomp.do
DEBUG:[2021-06-15 16:11:24,159] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:24,159] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:24,159] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="ws/stomp"; model={}]
DEBUG:[2021-06-15 16:11:24,165] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:24,165] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:24,657] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:24,658] LoggerInterceptor.java:21 - /spring/stommp/info
DEBUG:[2021-06-15 16:11:24,658] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:24,658] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:24,658] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 16:11:24,659] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:24,659] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:24,667] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:24,667] LoggerInterceptor.java:21 - /spring/stommp/687/4o51qqwj/websocket
DEBUG:[2021-06-15 16:11:24,667] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:24,669] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:24,669] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 16:11:24,670] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:24,670] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:29,347] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:29,347] LoggerInterceptor.java:21 - /spring/ws/stomp.do
DEBUG:[2021-06-15 16:11:29,347] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:29,347] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:29,347] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="ws/stomp"; model={}]
DEBUG:[2021-06-15 16:11:29,353] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:29,353] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:29,553] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:29,553] LoggerInterceptor.java:21 - /spring/stommp/info
DEBUG:[2021-06-15 16:11:29,553] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:29,554] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:29,554] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 16:11:29,554] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:29,554] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:11:29,562] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:11:29,563] LoggerInterceptor.java:21 - /spring/stommp/377/bspvtztb/websocket
DEBUG:[2021-06-15 16:11:29,563] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:29,565] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:11:29,565] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 16:11:29,565] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:11:29,565] LoggerInterceptor.java:47 - ____________________end_____________________
INFO :[2021-06-15 16:11:48,373] WebSocketMessageBrokerStats.java:124 - WebSocketSession[2 current WS(2)-HttpStream(0)-HttpPoll(0), 3 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(3)-CONNECTED(3)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 32, active threads = 1, queued tasks = 0, completed tasks = 32], outboundChannel[pool size = 4, active threads = 0, queued tasks = 0, completed tasks = 4], sockJsScheduler[pool size = 16, active threads = 1, queued tasks = 3, completed tasks = 10]
DEBUG:[2021-06-15 16:11:48,547] StompController.java:40 - notice = Notice(from=admin, to=all, message=전체공지, type=NOTICE, time=1623741108295)
DEBUG:[2021-06-15 16:12:10,862] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:12:10,862] LoggerInterceptor.java:21 - /spring/ws/stomp.do
DEBUG:[2021-06-15 16:12:10,863] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:12:10,863] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:12:10,863] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="ws/stomp"; model={}]
DEBUG:[2021-06-15 16:12:10,871] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:12:10,871] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:12:11,045] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:12:11,046] LoggerInterceptor.java:21 - /spring/stommp/info
DEBUG:[2021-06-15 16:12:11,046] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:12:11,046] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:12:11,046] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 16:12:11,046] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:12:11,046] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:12:11,052] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:12:11,052] LoggerInterceptor.java:21 - /spring/stommp/784/vaimsv5d/websocket
DEBUG:[2021-06-15 16:12:11,052] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:12:11,054] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:12:11,054] LoggerInterceptor.java:35 - modelAndView = null
DEBUG:[2021-06-15 16:12:11,054] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:12:11,054] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:12:57,264] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:12:57,264] LoggerInterceptor.java:21 - /spring/ws/websocket.do
DEBUG:[2021-06-15 16:12:57,264] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:12:57,264] WebsocketController.java:16 - websocketController~~~~~~~~~~~~~
DEBUG:[2021-06-15 16:12:57,264] LoggerInterceptor.java:34 - ---------------------------------------------
DEBUG:[2021-06-15 16:12:57,264] LoggerInterceptor.java:35 - modelAndView = ModelAndView [view="ws/websocket"; model={}]
DEBUG:[2021-06-15 16:12:57,444] LoggerInterceptor.java:45 - ------------------- view -------------------
DEBUG:[2021-06-15 16:12:57,445] LoggerInterceptor.java:47 - ____________________end_____________________
DEBUG:[2021-06-15 16:12:57,503] LoggerInterceptor.java:20 - =================== start ===================
DEBUG:[2021-06-15 16:12:57,503] LoggerInterceptor.java:21 - /spring/websoocket
DEBUG:[2021-06-15 16:12:57,503] LoggerInterceptor.java:22 - ---------------------------------------------
DEBUG:[2021-06-15 16:12:57,504] LoggerInterceptor.java:34 - ---------------------------------------------
